CODIGO DA TRANSACAO,DATA,TIPO,DESCRICAO,VALOR
d88faee7-8ee6-4d8f-a59d-6518bff7446c,01/04/2022,Vendas,Plano de Recebimento,"2,44"
09ed776a-6951-434d-96bc-2b722757b067,01/04/2022,Vendas,Plano de Recebimento,"9,98"
b4ab4aff-027b-4cc7-a080-de0228a047b1,01/04/2022,Vendas,Plano de Recebimento,"3,12"
34f8f9f2-a2e3-4673-895c-f1d02367fb1b,01/04/2022,Vendas,Plano de Recebimento,"1,17"
ad775805-da8e-45f7-927a-a54b7dade54e,01/04/2022,Vendas,Plano de Recebimento,"14,16"
61979940-842a-4a8f-9967-82b00ed8ede3,01/04/2022,Vendas,Plano de Recebimento,"5,37"
b2b6dc6b-4b38-45af-b646-675f7773565f,01/04/2022,Vendas,Plano de Recebimento,"2,85"
367ed248-b069-48b9-8f54-7e91d3ad359f,01/04/2022,Vendas,Plano de Recebimento,"3,33"
d5dc9f7a-2559-4dbc-9150-5290186921fc,01/04/2022,Vendas,Plano de Recebimento,"6,65"
c7825eed-7864-4f53-b371-cd4ef2b31093,01/04/2022,Vendas,Plano de Recebimento,"2,83"
abd1b87b-8790-465a-9cb4-871aa2c51548,01/04/2022,Vendas,Plano de Recebimento,"0,95"
793cabae-befb-4d07-be2e-3e0ff04eb1ab,01/04/2022,Vendas,Plano de Recebimento,"1,07"
5a2d761e-7800-41f9-87c2-e32531769386,01/04/2022,Vendas,Plano de Recebimento,"2,83"
ab9eb592-1aab-4173-b9c4-e8b14a1ed20d,01/04/2022,Vendas,Plano de Recebimento,"7,81"
87664c53-56f4-4997-adc5-f97d6f3e5b02,01/04/2022,Vendas,Plano de Recebimento,"2,76"
82c405ce-d26d-4243-9f7a-85c95bb94c85,01/04/2022,Vendas,Plano de Recebimento,"2,76"
e7a0ec88-6872-4dbc-b58d-07db1fb8a2ce,01/04/2022,Vendas,Plano de Recebimento,"8,25"
955f4d58-9bf6-47cf-911c-73dea7c5b1ff,01/04/2022,Vendas,Plano de Recebimento,"7,81"
122fff08-5a7a-44db-92b2-361d37d3c527,01/04/2022,Vendas,Plano de Recebimento,"5,23"
21d29efa-1e94-4c69-992c-268917a05af5,01/04/2022,Vendas,Plano de Recebimento,"3,12"
a0f8efde-0078-4ab5-9241-2edd8e1fd231,01/04/2022,Vendas,Plano de Recebimento,"2,93"
4c8d20c6-85f0-42df-8eda-66807f11bee0,01/04/2022,Vendas,Plano de Recebimento,"1,46"
84ca20da-d2aa-4b2d-a7b4-3df6dffe7453,01/04/2022,Vendas,Plano de Recebimento,"0,95"
eb603823-baf5-4d7c-b32b-1cca05a45965,01/04/2022,Vendas,Plano de Recebimento,"19,52"
d33c103e-fa61-4cfb-a0e3-1cd398bcba33,01/04/2022,Vendas,Plano de Recebimento,"3,33"
338113e6-45aa-4e5a-aa2a-215d924d8986,01/04/2022,Vendas,Plano de Recebimento,"5,23"
95affc79-980a-4858-be74-f4f05e0186b9,01/04/2022,Vendas,Plano de Recebimento,"9,5"
4d2bf4de-f67e-4e47-b32a-f5dd1f05d804,01/04/2022,Vendas,Plano de Recebimento,"8,3"
2f4d5c52-4ccd-45ea-8895-34f6d3ef3078,01/04/2022,Vendas,Plano de Recebimento,"11,4"
1654445e-8261-4456-ad47-ad83fa9909cf,01/04/2022,Vendas,Plano de Recebimento,"12,35"
bcc35df7-3c6d-48a0-b13d-770798566747,01/04/2022,Vendas,Plano de Recebimento,"2,93"
2c98a916-6c22-43c4-b9e9-779abdac7e98,01/04/2022,Vendas,Plano de Recebimento,"18,53"
cad7efa4-15b4-4e15-abf3-67d7cc8ae113,01/04/2022,Vendas,Plano de Recebimento,"3,9"
74dee656-dd7a-4066-9547-cc5f08bdd558,01/04/2022,Vendas,Plano de Recebimento,"9,5"
3abb75df-0071-4919-a89c-8994b2ca32b7,01/04/2022,Vendas,Plano de Recebimento,"5,23"
5c3fd858-24ba-40db-aa52-bafd748b2c38,01/04/2022,Vendas,Plano de Recebimento,"13,67"
4d936ffb-fca1-41ed-a2b4-1f865d2d41c3,01/04/2022,Vendas,Plano de Recebimento,"6,65"
b147fa34-1cc1-457c-8335-45806936eacf,01/04/2022,Vendas,Plano de Recebimento,"1,9"
d9c67fc4-3c20-4548-94b7-c2c18951d3fa,01/04/2022,Vendas,Plano de Recebimento,"7,81"
da9f2078-2ca4-4f15-bfa1-01007ed05098,02/04/2022,Vendas,Plano de Recebimento,"5,86"
de9e4ded-335b-4be1-96df-cd7daa860a0b,02/04/2022,Vendas,Plano de Recebimento,"6,56"
10b88f70-86b8-4ae6-97aa-7603d5196e5e,02/04/2022,Vendas,Plano de Recebimento,"9,5"
a9540fab-48b5-4431-a9d8-542830b5ca49,02/04/2022,Vendas,Plano de Recebimento,"3,8"
6028ad58-f431-446f-9413-f8f67d2501d7,02/04/2022,Vendas,Plano de Recebimento,"5,37"
0f659fac-10f6-419d-a7db-16b77800cc64,02/04/2022,Vendas,Plano de Recebimento,"9,27"
0b8bd137-218e-4786-9896-a1622b6faae8,02/04/2022,Vendas,Plano de Recebimento,"14,64"
3e732f9b-1927-4abf-b194-0236cde50f59,02/04/2022,Vendas,Plano de Recebimento,"2,85"
acd0fb2a-4222-42e6-9aaa-45568a7fd4d3,02/04/2022,Vendas,Plano de Recebimento,"5,37"
02c6d382-c8bb-44df-8724-e6567ce89a65,02/04/2022,Vendas,Plano de Recebimento,"3,9"
8250d8db-effb-4175-80d6-6cdb80da1730,02/04/2022,Vendas,Plano de Recebimento,"1,81"
80b0b51c-4eef-4c5b-be88-6885b13a615e,02/04/2022,Vendas,Plano de Recebimento,"0,95"
ea0b2b2f-c213-493d-a24e-897abc615b8e,02/04/2022,Vendas,Plano de Recebimento,"5,61"
a7878a1d-8f83-4709-95cc-9dc097c08904,02/04/2022,Vendas,Plano de Recebimento,"0,95"
d2b8db7a-ea67-443c-8a06-cce797098513,02/04/2022,Vendas,Plano de Recebimento,"9,5"
a5552c8e-9d19-4da9-8484-2c0b83751b40,02/04/2022,Vendas,Plano de Recebimento,"6,46"
a4e99dcb-6821-40ae-bbf4-e588e53d8cf5,02/04/2022,Vendas,Plano de Recebimento,"5,86"
8fd0842b-20e6-4d57-a6c7-a91e58f82f1d,02/04/2022,Vendas,Plano de Recebimento,"4,78"
c7135899-fe06-4c99-90b9-b0e3d5bbc727,02/04/2022,Vendas,Plano de Recebimento,"3,8"
3ee7932e-a5a1-4278-afbb-09b3fd33457a,02/04/2022,Vendas,Plano de Recebimento,"3,8"
2b7fd5d1-5bb5-488c-acbf-7c368efadb23,02/04/2022,Vendas,Plano de Recebimento,"5,7"
637d1928-a1e5-40ae-9a48-927a8d7ab311,02/04/2022,Vendas,Plano de Recebimento,"19,62"
d00f22a0-e279-4a3f-aeaf-cab9b5be6ef1,02/04/2022,Vendas,Plano de Recebimento,"5,37"
a990e534-3bb9-43f5-ac2b-c61377676302,02/04/2022,Vendas,Plano de Recebimento,"3,9"
56406243-16fc-45d9-9375-8021c5185d8d,02/04/2022,Vendas,Plano de Recebimento,"5,7"
0d35938e-b754-49d8-9ab5-f557bc02c567,02/04/2022,Vendas,Plano de Recebimento,"3,8"
85e16451-7b3d-445a-9029-4fe2b7483bc3,02/04/2022,Vendas,Plano de Recebimento,"6,18"
6781c1f6-7c3e-4a44-a831-43129fbca510,02/04/2022,Vendas,Plano de Recebimento,"2,64"
73096b39-3c38-429e-8e07-33b2b80e26d2,02/04/2022,Vendas,Plano de Recebimento,"5,23"
f047c306-aba4-410a-8ac1-1f49b1c3686b,02/04/2022,Vendas,Plano de Recebimento,"9,76"
50057893-9ec8-46df-9df9-89f8d7b40633,02/04/2022,Vendas,Plano de Recebimento,"9,5"
821dba02-71d4-4b3c-b9b7-7e9cf85fb726,02/04/2022,Vendas,Plano de Recebimento,"5,37"
dc3f5270-76ed-42b6-8a08-7e98bccd8ae1,02/04/2022,Vendas,Plano de Recebimento,"5,95"
4367ec40-c7e2-48c3-bb67-4e1444bebd00,02/04/2022,Vendas,Plano de Recebimento,"3,42"
0b81a7d1-3b0f-4b19-a3f7-4048d2c95bf9,02/04/2022,Vendas,Plano de Recebimento,"9,5"
ae8b00ec-d120-4c29-bc20-f0fca93ddb6b,02/04/2022,Vendas,Plano de Recebimento,"24,61"
2e434a39-bb4c-4f73-802f-a0a24534d002,02/04/2022,Vendas,Plano de Recebimento,"3,33"
730a2433-4b1c-4195-b6fe-96c6caf500ed,02/04/2022,Vendas,Plano de Recebimento,"12,26"
6fd71a43-81d8-4010-95c9-fd0f54d812df,02/04/2022,Vendas,Plano de Recebimento,"1,9"
830983bd-9911-42bc-949e-c8cf1e1e63ca,02/04/2022,Vendas,Plano de Recebimento,"5,86"
f45762ea-7b22-4095-9375-8b5513330e14,02/04/2022,Vendas,Plano de Recebimento,"1,95"
695c471e-5613-439b-a33a-2b7e5a298c43,02/04/2022,Vendas,Plano de Recebimento,"3,23"
44d9403a-cc1a-45a6-9eb7-27236b53e407,02/04/2022,Vendas,Plano de Recebimento,"9,76"
1c76a744-11e5-4020-a946-7ee403bf4692,02/04/2022,Vendas,Plano de Recebimento,"3,42"
2c7c3ae7-6d16-4ab4-a429-6c6a95b7b444,02/04/2022,Vendas,Plano de Recebimento,"6,83"
a646d0e0-0e3b-4113-9c0f-20ce4a6d3658,02/04/2022,Vendas,Plano de Recebimento,"0,95"
65f6f077-a2de-4d99-8726-8e2d2fe32b01,02/04/2022,Vendas,Plano de Recebimento,"5,37"
92c006be-12ca-43af-9d36-ca16a98ad239,02/04/2022,Vendas,Plano de Recebimento,"9,76"
6d8f4daf-f330-4bf2-8991-2ed672a7e2dd,02/04/2022,Vendas,Plano de Recebimento,"2,38"
b5dc7dce-930c-4fb8-a7c4-85ae7ead0555,02/04/2022,Vendas,Plano de Recebimento,"9,5"
9dfc0861-21e1-4056-9924-28d978e128d4,02/04/2022,Vendas,Plano de Recebimento,"3,33"
a78c56ba-bee2-429f-a2fc-1dd14e16fdb8,02/04/2022,Vendas,Plano de Recebimento,"9,76"
24e4c760-05b6-4158-a6f3-c27ae5108ad1,02/04/2022,Vendas,Plano de Recebimento,"7,6"
2cfc50e1-946f-4b9a-81ba-73f6ffcdea20,02/04/2022,Vendas,Plano de Recebimento,"0,95"
17e0baca-31c1-4b8a-847a-6369cbf541ad,02/04/2022,Vendas,Plano de Recebimento,"5,23"
f9136e57-ce2a-4427-9495-ac1630b1815a,02/04/2022,Vendas,Plano de Recebimento,"1,95"
3ebfa9cc-3211-402a-b6cf-fae56734743c,02/04/2022,Vendas,Plano de Recebimento,"3,33"
aa5b3c18-816b-4f67-8c0a-b246ee8c0707,02/04/2022,Vendas,Plano de Recebimento,"2,76"
99d9a1a3-a93b-4e25-9dc4-5499587bb0ff,02/04/2022,Vendas,Plano de Recebimento,"1,9"
3be0079d-4df4-4a6e-8615-4324f35a16e9,02/04/2022,Vendas,Plano de Recebimento,"2,76"
405597d2-d98a-4016-9c57-d0214b355e52,02/04/2022,Vendas,Plano de Recebimento,"5,23"
be2440eb-4e36-4788-a3c2-c12e51381530,02/04/2022,Vendas,Plano de Recebimento,"10,25"
ea7e4ba7-3167-4ff5-9234-85433bb45d9c,02/04/2022,Vendas,Plano de Recebimento,"2,83"
14c13ac5-eeb2-4e27-8869-d54d7249cd74,02/04/2022,Vendas,Plano de Recebimento,"2,93"
707a4dbb-7b73-45ce-8014-dd36e17121bd,02/04/2022,Vendas,Plano de Recebimento,"8,55"
88bdd4c0-71d6-4766-8651-d52b749bde33,02/04/2022,Vendas,Plano de Recebimento,"2,76"
3d380bd7-b460-43da-a65d-85bee62f65c5,02/04/2022,Vendas,Plano de Recebimento,"2,93"
230f647b-e526-4c62-b94f-417b678a3f4c,02/04/2022,Vendas,Plano de Recebimento,"13,3"
ddece5ae-3e53-4b12-a979-703c58b53701,02/04/2022,Vendas,Plano de Recebimento,"6,08"
d7f54d18-ddbf-4683-bb70-9c6a7201aeb8,02/04/2022,Vendas,Plano de Recebimento,"4,28"
5b442ab3-4add-4977-9ec6-202111b6678c,02/04/2022,Vendas,Plano de Recebimento,"8,2"
b03788b8-7a5b-4d86-af6f-e46e9cc3f86c,02/04/2022,Vendas,Plano de Recebimento,"2,64"
cd1ff942-8630-4673-945c-b6413eba80b8,02/04/2022,Vendas,Plano de Recebimento,"22,23"
7c623e50-13bb-42e9-a263-8ffcf344ab93,02/04/2022,Vendas,Plano de Recebimento,"5,23"
88993883-4cf8-4342-a3fa-d209264b2216,02/04/2022,Vendas,Plano de Recebimento,"8,78"
964bb1e3-396c-4a1b-9a15-25560987dc62,03/04/2022,Vendas,Plano de Recebimento,"9,27"
4d4ac27e-5a61-443f-a072-ab55dd8c5af8,03/04/2022,Vendas,Plano de Recebimento,"3,12"
f4bb4c34-a87b-4b77-a3ee-4eb6d5dafd7f,03/04/2022,Vendas,Plano de Recebimento,"2,44"
9cfbc42d-5bec-4e2a-a4ea-fb22fc98c434,03/04/2022,Vendas,Plano de Recebimento,19
277d553a-2243-40b2-8c23-cf04aef69d90,03/04/2022,Vendas,Plano de Recebimento,"6,83"
fbed0eeb-e3fd-4455-bd94-2d21716fad56,03/04/2022,Vendas,Plano de Recebimento,"7,6"
1f2efbab-cefb-4ad3-9c8e-aabd7dd57b0c,03/04/2022,Vendas,Plano de Recebimento,19
3fd8d71b-6ae9-4e95-9e71-d179e6991adb,03/04/2022,Vendas,Plano de Recebimento,"7,6"
5fe3a163-bbff-43f8-9d43-9d3e146db4e1,03/04/2022,Vendas,Plano de Recebimento,"2,85"
3352856e-a9a4-45ed-9da6-ba8dc4eaa559,03/04/2022,Vendas,Plano de Recebimento,"6,34"
0991a5ca-02eb-4c8a-bbf3-e59b3a98898d,03/04/2022,Vendas,Plano de Recebimento,"6,65"
60a4fb7d-093e-4a4c-afac-5e675de32bc1,03/04/2022,Vendas,Plano de Recebimento,"5,23"
80f560e0-5759-4d82-919e-ab61f1e9e2a1,03/04/2022,Vendas,Plano de Recebimento,"11,71"
3fb1f407-b14c-482a-a181-a5b8ad555ac8,03/04/2022,Vendas,Plano de Recebimento,"1,9"
5b17f869-9b91-4b87-ba6c-721d25f748ad,03/04/2022,Vendas,Plano de Recebimento,"11,4"
d5bb9f6a-0032-4ba0-a4f1-d6456667922c,03/04/2022,Vendas,Plano de Recebimento,"11,71"
de781aea-e0c3-41a4-8407-16ce4a9e1c1b,03/04/2022,Vendas,Plano de Recebimento,"9,5"
b8974ed7-5446-43b6-b1fa-6389c3725a87,03/04/2022,Vendas,Plano de Recebimento,"2,76"
9be4bf5b-8c59-4666-94f1-4f993d976ad9,03/04/2022,Vendas,Plano de Recebimento,"11,4"
063522fd-1dfe-4c7a-9cdb-92b91030b5f5,03/04/2022,Vendas,Plano de Recebimento,"8,78"
2b7ffe99-2592-491e-bdb0-181db05c0866,03/04/2022,Vendas,Plano de Recebimento,"21,47"
b7387494-06bc-400c-9265-a4fcb64d6642,03/04/2022,Vendas,Plano de Recebimento,"7,81"
c610e106-4430-4198-86ec-287e6cb89607,03/04/2022,Vendas,Plano de Recebimento,"5,23"
504947c6-0c3e-475d-9515-b2439f4db22e,03/04/2022,Vendas,Plano de Recebimento,"11,71"
cf013b18-35cc-4b4c-bb7a-bab0648f1d34,03/04/2022,Vendas,Plano de Recebimento,"2,83"
96fc6652-f35a-4d7c-bbc7-c05062d8d37f,03/04/2022,Vendas,Plano de Recebimento,"9,5"
a504cab4-15c3-4e22-ac70-0fe2c57a3d3d,03/04/2022,Vendas,Plano de Recebimento,"11,71"
ed5678d7-71c4-43e8-b979-12cd591af9a8,03/04/2022,Vendas,Plano de Recebimento,"3,42"
62b4fb97-722f-46b4-9406-34862e97be35,03/04/2022,Vendas,Plano de Recebimento,"11,4"
c8fcbbac-a320-44b0-a55f-77b14da73285,03/04/2022,Vendas,Plano de Recebimento,"1,95"
26a41922-d253-498f-856f-85acfac04faa,03/04/2022,Vendas,Plano de Recebimento,"3,33"
034f4e10-21ef-4247-830f-73b7ef43363e,03/04/2022,Vendas,Plano de Recebimento,"3,8"
960572e3-f92e-43af-952c-7c4baf84174a,03/04/2022,Vendas,Plano de Recebimento,"12,35"
88ee3007-3dbf-4d4a-84f5-3d50e4938c86,03/04/2022,Vendas,Plano de Recebimento,"1,96"
d6c6c5fa-846c-45fb-8639-705021389b27,03/04/2022,Vendas,Plano de Recebimento,"1,95"
53cd113c-a96e-4c99-882e-40ed806b1515,03/04/2022,Vendas,Plano de Recebimento,"1,95"
86535fc8-52e5-4011-8d47-3ee6a86611a5,03/04/2022,Vendas,Plano de Recebimento,"3,9"
2b6218eb-79ad-41b2-8379-c6e8449ac4a3,03/04/2022,Vendas,Plano de Recebimento,"3,8"
9fc49dc6-436a-4c45-a9d6-134cca5f8201,03/04/2022,Vendas,Plano de Recebimento,"8,3"
6caf4189-dd9a-41d3-83e8-c7ea430ec0dc,03/04/2022,Vendas,Plano de Recebimento,"8,55"
393efe69-4929-4771-a04f-bfe77eccf887,03/04/2022,Vendas,Plano de Recebimento,"5,1"
acf67232-3dde-422c-929b-cab9c6d4e917,03/04/2022,Vendas,Plano de Recebimento,"5,23"
ad6135d4-de95-4e7f-9c43-34bd6477db67,03/04/2022,Vendas,Plano de Recebimento,"2,76"
24389d60-50a7-4d4a-926c-7ea1ff164a5c,03/04/2022,Vendas,Plano de Recebimento,"3,9"
4dee2958-981a-476f-b55f-79ae356e2abb,03/04/2022,Vendas,Plano de Recebimento,"5,7"
672d52e5-f431-4b13-9462-f9f7f72b9c0b,03/04/2022,Vendas,Plano de Recebimento,"4,28"
986e74ef-21bc-4f29-ae8a-f8d845de7c08,03/04/2022,Vendas,Plano de Recebimento,"2,85"
f20b089a-5299-49ee-a391-3ea95c94c070,03/04/2022,Vendas,Plano de Recebimento,"3,9"
301b9164-f2fd-45f5-8995-fdaf6a96a6a0,03/04/2022,Vendas,Plano de Recebimento,"1,95"
1c48e6cb-10f7-44ff-ab12-f61ed8d40f4a,03/04/2022,Vendas,Plano de Recebimento,"3,9"
20fd8129-dca7-4d83-a171-eee932cf10df,03/04/2022,Vendas,Plano de Recebimento,"5,37"
68ef6668-d0ae-406a-a5b1-40b76c3361e8,03/04/2022,Vendas,Plano de Recebimento,"1,95"
f145700b-4d1f-47d7-83e4-45c6e36f2348,03/04/2022,Vendas,Plano de Recebimento,"5,86"
4ea0f899-8cfd-4131-bdbd-8523e2772b2a,03/04/2022,Vendas,Plano de Recebimento,"9,31"
f2a7dc96-2d92-480a-9a14-d8bb87e48f7e,03/04/2022,Vendas,Plano de Recebimento,"2,76"
240fb8b1-dc8f-48aa-8999-0024123237ff,03/04/2022,Vendas,Plano de Recebimento,"11,81"
3de66111-4d3a-4f53-93bc-c647ff7a86e7,03/04/2022,Vendas,Plano de Recebimento,"5,66"
e0487bb7-f5b1-418f-bbc5-befc4849ee15,03/04/2022,Vendas,Plano de Recebimento,"6,46"
96eb3840-8fee-4914-9e8f-d1a1dd1ad3c3,03/04/2022,Vendas,Plano de Recebimento,"2,85"
0a009bf1-2307-4ffc-b566-582d7c0e1600,03/04/2022,Vendas,Plano de Recebimento,19
8d29302c-cfc1-4a25-b6ab-8217ccbf3dfa,03/04/2022,Vendas,Plano de Recebimento,"2,93"
e819c99d-0779-4d18-b6a9-6c3d791cc15c,03/04/2022,Vendas,Plano de Recebimento,"9,5"
378c4363-3620-4e6f-8286-6a7b5fd67bc5,03/04/2022,Vendas,Plano de Recebimento,"5,86"
e8627321-4cd0-4db8-860a-79bfbdf6315c,03/04/2022,Vendas,Plano de Recebimento,"1,9"
e5024d6c-1e86-4e93-90df-e60ac937c55f,03/04/2022,Vendas,Plano de Recebimento,"5,23"
57a04bfb-bb4a-4748-be2f-6c3718ed0246,03/04/2022,Vendas,Plano de Recebimento,"6,83"
d1264b6c-1af7-4023-8309-1259f20c31d1,03/04/2022,Vendas,Plano de Recebimento,"2,85"
ea685a8e-c140-4d60-9a82-04b70ff647b1,03/04/2022,Vendas,Plano de Recebimento,"7,81"
0855f2e1-1d2e-4395-8b49-ee05dc0a476a,03/04/2022,Vendas,Plano de Recebimento,"4,88"
202f520d-3a13-45dc-8ffd-a4c64fd6cf99,03/04/2022,Vendas,Plano de Recebimento,"4,59"
5630abc7-48c7-4593-94fa-b8920d7ad14e,03/04/2022,Vendas,Plano de Recebimento,"2,38"
2133eca6-b479-400c-8854-81b340fbaa16,03/04/2022,Pix Recebido,Recebimento de transferência Pix,10
1c607808-ec29-4e22-9bf6-d1dd8b174d97,03/04/2022,Vendas,Plano de Recebimento,"1,9"
c0a9dca2-2c59-45d6-83e7-5ac42660a372,03/04/2022,Pix Enviado,Transferência Pix,-750
3543137a-906c-42de-ae18-827ae9d7de00,03/04/2022,Vendas,Plano de Recebimento,"3,33"
4140869a-9e49-4e95-886f-97d36de29d05,03/04/2022,Vendas,Plano de Recebimento,"1,95"
67e90e3d-990c-4728-b762-90594788743e,03/04/2022,Vendas,Plano de Recebimento,"5,66"
4a84f823-70d9-48aa-88ae-b77c25141a6e,03/04/2022,Vendas,Plano de Recebimento,"1,95"
0253652c-c0c9-461a-a5cb-ea706ea6bfbe,03/04/2022,Vendas,Plano de Recebimento,"3,04"
31657856-8dba-4989-b305-53e8e83b7af0,03/04/2022,Vendas,Plano de Recebimento,"8,3"
617b67a8-c50a-45c5-a5ab-331ef10c36ae,03/04/2022,Vendas,Plano de Recebimento,"5,13"
86304acb-1f7e-41c7-81b8-357c3244acf4,03/04/2022,Vendas,Plano de Recebimento,"1,95"
131bc06b-6cbf-4743-8289-069e8bcde4e6,03/04/2022,Vendas,Plano de Recebimento,"1,9"
6ecd08ae-eb7f-4fcc-b9f9-9ab1e6a1d20b,03/04/2022,Vendas,Plano de Recebimento,"3,8"
7893ca4e-70c0-4a98-bd04-3119f4482cf9,03/04/2022,Vendas,Plano de Recebimento,"9,98"
646b3671-8769-4697-84e1-ba1888415244,03/04/2022,Vendas,Plano de Recebimento,"5,86"
53a7f8eb-c011-4893-a94f-b14a8fea7be9,03/04/2022,Vendas,Plano de Recebimento,"12,35"
0c7e67fb-83d0-46f4-84ef-eb205b449455,04/04/2022,Vendas,Plano de Recebimento,"2,83"
434a45bf-b0c4-4b64-86d3-1156b0c0af75,04/04/2022,Vendas,Plano de Recebimento,"13,67"
f90a9993-8f44-4858-9c17-5d8a030c16b6,04/04/2022,Vendas,Plano de Recebimento,"5,86"
5737c9e5-5681-4a8e-825d-0cca4aaa0efa,04/04/2022,Vendas,Plano de Recebimento,"15,2"
3ee1806d-237a-43b8-ba37-927d0a967395,04/04/2022,Vendas,Plano de Recebimento,"25,87"
27a20922-1e59-4401-9d79-a233bf4cacb3,04/04/2022,Vendas,Plano de Recebimento,"3,71"
982a05bf-2fb4-4fd6-8f6f-bed01f1b6754,04/04/2022,Vendas,Plano de Recebimento,"2,44"
91ff3cc6-756e-4dd5-ae63-6148b4d29e9f,04/04/2022,Vendas,Plano de Recebimento,"2,38"
9ba08d21-cdec-4e59-bbfb-1cfe9d08710d,04/04/2022,Vendas,Plano de Recebimento,"1,17"
1cc16a53-7f02-441a-978b-568519be70fd,04/04/2022,Vendas,Plano de Recebimento,"3,8"
4ffe7c84-24f6-4d41-af5a-7fbc9edccbca,04/04/2022,Vendas,Plano de Recebimento,"3,42"
d82db735-c8fc-45ed-8509-e97e44973b4b,04/04/2022,Vendas,Plano de Recebimento,"11,71"
72204ce5-fae7-488f-b5c8-469963b67c0e,04/04/2022,Vendas,Plano de Recebimento,"9,03"
81f89a3b-5011-4635-8e0e-a9e88e4ff3b5,04/04/2022,Vendas,Plano de Recebimento,"0,95"
eba6d206-c943-4ef0-89fc-e0bf333dce53,04/04/2022,Vendas,Plano de Recebimento,"14,15"
d89839b2-c222-437e-aa03-d449e73be6d2,04/04/2022,Vendas,Plano de Recebimento,"3,9"
bb3d9712-a56d-440d-8930-7635a6df19ee,04/04/2022,Vendas,Plano de Recebimento,"14,64"
c6797bb1-85c7-42b7-80ef-a86c283de9af,04/04/2022,Vendas,Plano de Recebimento,"1,95"
b4cf2f2b-b736-4865-8058-188fc9510c1a,04/04/2022,Vendas,Plano de Recebimento,"7,81"
141a4beb-d8fe-4e70-93ac-a43a27966569,04/04/2022,Vendas,Plano de Recebimento,"5,23"
1f5e5499-a16e-4547-9cab-ae2ca7007102,04/04/2022,Vendas,Plano de Recebimento,"4,88"
e3e153e2-6865-4313-a830-d820b99d5367,04/04/2022,Vendas,Plano de Recebimento,"9,5"
57de2bd0-d271-4386-bd3a-42e494d22817,04/04/2022,Vendas,Plano de Recebimento,"9,5"
03a103e6-5f89-4723-91fb-befbb90431b7,04/04/2022,Vendas,Plano de Recebimento,"11,71"
f59a4301-5382-466c-aab4-fc387476e3e1,04/04/2022,Vendas,Plano de Recebimento,"11,4"
2e334f21-d1fc-4dde-b99c-eaf6720a30aa,04/04/2022,Vendas,Plano de Recebimento,"3,8"
d5d2a17c-0b27-49ec-b7b3-85fe24a271d3,04/04/2022,Vendas,Plano de Recebimento,19
fc003e6f-050e-4f12-91ed-56b85968c472,04/04/2022,Vendas,Plano de Recebimento,"9,76"
9d22bb96-5742-4e76-bd73-d63c0e137c7f,04/04/2022,Vendas,Plano de Recebimento,"9,76"
47242101-f641-487d-a45a-89faf3b09d81,04/04/2022,Vendas,Plano de Recebimento,"6,65"
e33bbc6e-45fb-41c3-a71b-0950b928ad2d,04/04/2022,Vendas,Plano de Recebimento,"3,8"
74b2e76a-9a86-4700-a208-95f36cce8a14,04/04/2022,Vendas,Plano de Recebimento,"11,71"
